City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
3,Tual,ID,83.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
23,Hilo,US,80.26,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
24,Hobart,AU,80.02,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
29,Kununurra,AU,80.58,scattered clouds,-15.7667,128.7333,Hotel Kununurra
38,Hithadhoo,MV,82.2,few clouds,-0.6,73.0833,Scoop Guest House
48,Vaini,TO,84.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
69,Balabac,PH,81.0,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
73,Gold Coast,AU,87.39,broken clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
76,Flinders,AU,85.05,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
94,Acarau,BR,80.19,scattered clouds,-2.8856,-40.12,castelo pizzaria
103,Faanui,PF,81.45,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
106,San Juan,AR,88.14,clear sky,-31.5375,-68.5364,Hotel Provincial
116,Mahebourg,MU,80.26,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
117,Kavieng,PG,80.89,moderate rain,-2.5744,150.7967,Nusa Island Retreat
119,Natal,BR,80.35,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
123,Ewa Beach,US,80.6,overcast clouds,21.3156,-158.0072,Uncle Junior Robert
134,New Norfolk,AU,81.66,scattered clouds,-42.7826,147.0587,The Shingles Riverside Cottages
145,Mount Isa,AU,82.17,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
150,Tautira,PF,87.82,light rain,-17.7333,-149.15,Pension Oaoa
162,Port-Gentil,GA,80.89,light rain,-0.7193,8.7815,Fengshui Residence
167,Chirongui,YT,80.53,overcast clouds,-12.9319,45.1483,La Villa Mahatsara
169,Kavaratti,IN,80.17,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
174,Butaritari,KI,81.3,light rain,3.0707,172.7902,Isles Sunset Lodge
182,Buala,SB,83.79,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
