,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Asnaes,DK,55.8123,11.5013,34.05,91,99,1.99,overcast clouds
1,Dolores,AR,-36.3132,-57.6792,63.19,47,35,8.59,scattered clouds
2,Port Hedland,AU,-20.3167,118.5667,82.45,89,100,4.61,overcast clouds
3,Tual,ID,-5.6667,132.75,83.91,74,100,20.29,overcast clouds
4,Te Anau,NZ,-45.4167,167.7167,70.72,48,87,2.04,overcast clouds
5,Bandar-E Lengeh,IR,26.5579,54.8807,69.19,59,0,2.04,clear sky
6,Cape Town,ZA,-33.9258,18.4232,75.11,81,0,1.01,clear sky
7,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,86,100,6.22,overcast clouds
8,Romny,UA,50.751,33.4747,26.98,96,97,12.93,light snow
9,Yellowknife,CA,62.456,-114.3525,-7.58,78,20,9.22,few clouds
10,Mataura,NZ,-46.1927,168.8643,74.48,54,63,2.15,broken clouds
11,Sal Rei,CV,16.1833,-22.9167,70.36,77,100,10.31,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,42.46,81,40,32.21,scattered clouds
13,Lavrentiya,RU,65.5833,-171.0,-0.42,83,56,11.65,broken clouds
14,Ghanzi,BW,-21.5667,21.7833,68.13,87,44,8.5,scattered clouds
15,Lebu,CL,-37.6167,-73.65,59.4,72,0,17.98,clear sky
16,Katsuura,JP,35.1333,140.3,41.18,44,87,5.21,overcast clouds
17,Rikitea,PF,-23.1203,-134.9692,77.7,66,68,3.69,broken clouds
18,Collie,AU,-33.3667,116.15,57.97,57,56,11.95,broken clouds
19,Marquette,US,46.5333,-87.6335,26.82,69,92,15.01,overcast clouds
20,Atuona,PF,-9.8,-139.0333,78.51,75,16,19.19,few clouds
21,Novikovo,RU,51.1537,37.8879,27.37,92,99,13.85,overcast clouds
22,Burnie,AU,-41.0667,145.9167,74.91,57,68,12.53,broken clouds
23,Hilo,US,19.7297,-155.09,80.26,67,32,4.0,scattered clouds
24,Hobart,AU,-42.8794,147.3294,80.02,66,20,1.01,few clouds
25,Rantepao,ID,-2.9701,119.8978,65.7,90,59,2.64,moderate rain
26,Cabo San Lucas,MX,22.8909,-109.9124,77.61,60,1,5.01,clear sky
27,Punta Arenas,CL,-53.15,-70.9167,46.51,81,40,32.21,light rain
28,Staryy Oskol,RU,51.2967,37.8417,27.19,92,99,13.38,light snow
29,Kununurra,AU,-15.7667,128.7333,80.58,83,40,12.66,scattered clouds
30,Huarmey,PE,-10.0681,-78.1522,73.58,78,94,9.55,overcast clouds
31,Aquin,HT,18.2833,-73.4,75.72,79,35,6.53,scattered clouds
32,Jamestown,US,42.097,-79.2353,22.51,89,43,2.62,scattered clouds
33,Ancud,CL,-41.8697,-73.8203,62.42,72,2,8.61,clear sky
34,Bushenyi,UG,-0.5853,30.2114,61.7,81,100,2.71,overcast clouds
35,Kahului,US,20.8947,-156.47,78.96,73,78,7.0,broken clouds
36,Kondopoga,RU,62.2057,34.2614,14.83,96,100,5.35,overcast clouds
37,Isla Vista,US,34.4133,-119.861,65.68,67,0,0.0,haze
38,Hithadhoo,MV,-0.6,73.0833,82.2,74,22,9.35,few clouds
39,Busselton,AU,-33.65,115.3333,60.08,59,20,15.5,few clouds
40,Bluff,NZ,-46.6,168.3333,73.8,79,28,2.06,scattered clouds
41,Tuktoyaktuk,CA,69.4541,-133.0374,-9.49,99,100,6.62,overcast clouds
42,Saskylakh,RU,71.9167,114.0833,-28.75,100,88,2.17,overcast clouds
43,Provideniya,RU,64.3833,-173.3,8.71,61,40,20.13,scattered clouds
44,Bethel,US,41.3712,-73.414,25.66,90,65,0.74,broken clouds
45,Tukan,RU,53.8409,57.4552,17.17,96,100,6.24,overcast clouds
