City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Channel-Port Aux Basques,100,CA,2022-01-31 21:45:05,67,47.5702,-59.1367,22.78,22.37
1,Hermanus,14,ZA,2022-01-31 21:47:04,83,-34.4187,19.2345,74.89,9.35
2,Tessalit,49,ML,2022-01-31 21:48:08,12,20.1986,1.0114,67.14,10.49
3,Lagoa,26,PT,2022-01-31 21:48:08,79,39.05,-27.9833,58.69,24.38
4,Nuuk,100,GL,2022-01-31 21:48:09,63,64.1835,-51.7216,20.01,4.61
5,Port Lincoln,57,AU,2022-01-31 21:48:10,76,-34.7333,135.8667,64.08,18.88
6,Northam,81,GB,2022-01-31 21:48:10,87,51.0333,-4.2167,48.61,16.84
7,Hobart,20,AU,2022-01-31 21:44:27,76,-42.8794,147.3294,75.06,1.01
8,Isangel,100,VU,2022-01-31 21:47:12,94,-19.55,169.2667,80.71,5.75
9,Yellowknife,20,CA,2022-01-31 21:46:17,78,62.456,-114.3525,-7.58,11.5
10,Dagua,100,CO,2022-01-31 21:48:12,94,3.6569,-76.6886,82.9,3.69
11,Barrow,0,US,2022-01-31 21:47:54,76,71.2906,-156.7887,-14.78,9.22
12,Bluff,26,NZ,2022-01-31 21:40:22,81,-46.6,168.3333,72.81,3.24
13,Busselton,24,AU,2022-01-31 21:45:27,64,-33.65,115.3333,57.09,15.23
14,Kapaa,0,US,2022-01-31 21:47:36,70,22.0752,-159.319,78.12,1.01
15,Bereda,42,ES,2022-01-31 21:48:15,95,43.2686,-7.5406,47.91,6.96
16,Prince George,20,CA,2022-01-31 21:43:50,72,53.9166,-122.753,24.3,2.3
17,Norman Wells,75,CA,2022-01-31 21:44:53,66,65.282,-126.8329,5.04,18.41
18,Srednekolymsk,100,RU,2022-01-31 21:46:32,93,67.45,153.6833,-15.02,4.61
19,Ler,96,SS,2022-01-31 21:48:17,16,8.3018,30.1418,78.17,9.82
20,Villazon,94,BO,2022-01-31 21:48:18,71,-22.0866,-65.5942,51.21,17.02
21,Port Elizabeth,100,ZA,2022-01-31 21:47:05,94,-33.918,25.5701,73.69,8.05
22,Torbay,75,CA,2022-01-31 21:48:19,74,47.6666,-52.7314,32.77,14.97
23,Ahuimanu,40,US,2022-01-31 21:48:20,66,21.4447,-157.8378,79.2,1.99
24,Tefe,20,BR,2022-01-31 21:48:21,70,-3.3542,-64.7114,89.71,4.61
25,Namatanai,100,PG,2022-01-31 21:48:21,80,-3.6667,152.4333,80.46,3.27
26,Airai,84,TL,2022-01-31 21:47:27,87,-8.9266,125.4092,59.99,4.34
27,Kinango,96,KE,2022-01-31 21:48:22,93,-4.1372,39.3153,75.31,2.01
28,Itoman,75,JP,2022-01-31 21:48:23,74,26.1247,127.6694,60.82,9.22
29,Avarua,75,CK,2022-01-31 21:43:53,83,-21.2078,-159.775,78.85,5.75
30,Ushuaia,75,AR,2022-01-31 21:42:36,76,-54.8,-68.3,46.06,27.63
31,Punta Arenas,100,CL,2022-01-31 21:46:54,81,-53.15,-70.9167,46.51,34.52
32,Qaanaaq,0,GL,2022-01-31 21:48:26,46,77.484,-69.3632,-21.78,8.77
33,Mount Isa,75,AU,2022-01-31 21:48:26,100,-20.7333,139.5,78.57,4.61
34,Kodiak,100,US,2022-01-31 21:40:46,80,57.79,-152.4072,26.11,0.0
35,Nyuzen,84,JP,2022-01-31 21:48:27,65,36.9333,137.5,33.48,4.41
36,Cap Malheureux,43,MU,2022-01-31 21:48:28,71,-19.9842,57.6142,79.47,11.99
37,Chickasha,0,US,2022-01-31 21:48:29,26,35.0526,-97.9364,72.75,14.97
38,Inhambane,30,MZ,2022-01-31 21:48:30,82,-23.865,35.3833,76.26,8.34
39,Buala,96,SB,2022-01-31 21:48:30,75,-8.145,159.5921,82.96,3.94
40,Albany,8,US,2022-01-31 21:47:23,83,42.6001,-73.9662,30.15,2.15
41,Egvekinot,82,RU,2022-01-31 21:48:31,73,66.3167,-179.1667,0.09,11.56
42,Rudnogorsk,100,RU,2022-01-31 21:48:32,99,57.2639,103.7519,-8.41,1.43
43,Iqaluit,20,CA,2022-01-31 21:46:56,74,63.7506,-68.5145,-27.31,1.99
44,Rikitea,81,PF,2022-01-31 21:45:15,65,-23.1203,-134.9692,77.59,4.18
45,Emerald,66,AU,2022-01-31 21:47:07,69,-23.5333,148.1667,80.74,8.05
46,Humberto De Campos,51,BR,2022-01-31 21:48:34,83,-2.5983,-43.4611,78.28,8.34
47,George,75,ZA,2022-01-31 21:48:35,94,-33.963,22.4617,67.55,4.61
48,Touros,47,BR,2022-01-31 21:42:21,73,-5.1989,-35.4608,83.3,13.8
49,Vila Velha,75,BR,2022-01-31 21:47:09,87,-20.3297,-40.2925,80.55,3.0
50,Ribeira Grande,40,PT,2022-01-31 21:48:36,72,38.5167,-28.7,61.2,16.11
51,Bima,69,ID,2022-01-31 21:48:37,95,-8.4667,118.7167,75.25,2.44
52,Puerto Ayora,62,EC,2022-01-31 21:44:57,93,-0.7393,-90.3518,78.76,3.0
53,Dingli,0,MT,2022-01-31 21:48:38,76,35.8614,14.3822,56.8,14.97
54,Jamestown,0,US,2022-01-31 21:44:57,50,42.097,-79.2353,33.12,0.0
55,Barguzin,91,RU,2022-01-31 21:48:39,96,53.6167,109.6167,-13.88,2.42
56,Port Alfred,100,ZA,2022-01-31 21:47:22,95,-33.5906,26.891,75.33,6.29
57,Nha Trang,26,VN,2022-01-31 21:48:40,91,12.25,109.1833,75.2,4.45
58,Vardo,0,NO,2022-01-31 21:48:41,86,70.3705,31.1107,15.78,20.71
59,Zomba,48,MW,2022-01-31 21:48:41,94,-15.386,35.3188,66.36,1.72
60,Vaini,40,TO,2022-01-31 21:46:45,83,-21.2,-175.2,82.56,8.05
61,Sao Jose Da Coroa Grande,8,BR,2022-01-31 21:48:42,75,-8.8978,-35.1478,80.1,7.83
62,Arraial Do Cabo,75,BR,2022-01-31 21:44:12,78,-22.9661,-42.0278,80.46,3.44
63,Gat,57,IL,2022-01-31 21:48:44,100,31.61,34.7642,50.92,9.53
64,Zhigansk,88,RU,2022-01-31 21:47:31,99,66.7697,123.3711,-31.05,7.52
65,Marawi,100,PH,2022-01-31 21:48:45,95,7.9986,124.2928,66.29,1.01
66,Zheleznodorozhnyy,100,RU,2022-01-31 21:48:46,98,55.7503,38.0042,30.72,5.08
67,Saint-Philippe,97,RE,2022-01-31 21:47:38,79,-21.3585,55.7679,78.39,14.79
68,Darlowo,62,PL,2022-01-31 21:48:47,63,54.421,16.4107,36.95,5.46
69,Latung,91,PH,2022-01-31 21:48:48,79,5.5,120.8833,80.71,4.38
70,Katsuura,84,JP,2022-01-31 21:47:20,46,35.1333,140.3,39.18,5.68
71,Plettenberg Bay,100,ZA,2022-01-31 21:48:49,70,-34.0527,23.3716,74.8,8.14
72,Petropavlovsk-Kamchatskiy,75,RU,2022-01-31 21:48:49,59,53.0452,158.6483,27.19,24.61
73,Abu Kamal,100,SY,2022-01-31 21:46:09,79,34.4506,40.9171,45.99,13.49
74,Jiangyou,99,CN,2022-01-31 21:48:51,94,31.7667,104.7167,39.6,3.69
75,Launceston,100,AU,2022-01-31 21:46:59,84,-41.45,147.1667,71.62,3.0
76,Taoudenni,67,ML,2022-01-31 21:48:52,8,22.6783,-3.9836,70.36,14.79
77,Barra Do Garcas,90,BR,2022-01-31 21:48:53,95,-15.89,-52.2567,73.08,3.11
78,Mar Del Plata,0,AR,2022-01-31 21:45:21,56,-38.0023,-57.5575,68.02,8.99
